,portfolio_value
2024-01-15 00:00:00+00:00,1000000.0
2024-01-16 00:00:00+00:00,1000000.0
2024-01-17 00:00:00+00:00,1013558.91273
2024-01-18 00:00:00+00:00,1006636.50273
2024-01-19 00:00:00+00:00,989708.0962899999
2024-01-20 00:00:00+00:00,1015687.63099
2024-01-21 00:00:00+00:00,1013341.17613
2024-01-22 00:00:00+00:00,1011533.5441399999
2024-01-23 00:00:00+00:00,994105.84414
2024-01-24 00:00:00+00:00,1011235.0028199998
2024-01-25 00:00:00+00:00,1011235.0028199998
2024-01-26 00:00:00+00:00,1011235.0028199998
2024-01-27 00:00:00+00:00,1011235.0028199998
2024-01-28 00:00:00+00:00,1011235.0028199998
2024-01-29 00:00:00+00:00,1023060.6755899999
2024-01-30 00:00:00+00:00,1041563.9432199998
2024-01-31 00:00:00+00:00,1046728.3958699999
2024-02-01 00:00:00+00:00,1030513.6469799997
2024-02-02 00:00:00+00:00,1036799.4209799998
2024-02-03 00:00:00+00:00,1046621.2112999998
2024-02-04 00:00:00+00:00,1036896.6578699998
2024-02-05 00:00:00+00:00,1026553.0811799997
2024-02-06 00:00:00+00:00,1027840.2336799998
2024-02-07 00:00:00+00:00,1034518.6323999997
2024-02-08 00:00:00+00:00,1073317.8809399998
2024-02-09 00:00:00+00:00,1084905.01558
2024-02-10 00:00:00+00:00,1120136.6270199998
2024-02-11 00:00:00+00:00,1133522.7770699998
2024-02-12 00:00:00+00:00,1133178.8759099997
2024-02-13 00:00:00+00:00,1178393.7660599998
2024-02-14 00:00:00+00:00,1178256.41176
2024-02-15 00:00:00+00:00,1225100.2005399996
2024-02-16 00:00:00+00:00,1222228.7715999999
2024-02-17 00:00:00+00:00,1211373.73276
2024-02-18 00:00:00+00:00,1201297.9214399997
2024-02-19 00:00:00+00:00,1227797.91064
2024-02-20 00:00:00+00:00,1231898.77708
2024-02-21 00:00:00+00:00,1233569.2754799998
2024-02-22 00:00:00+00:00,1213607.4128299996
2024-02-23 00:00:00+00:00,1220880.4130199999
2024-02-24 00:00:00+00:00,1211024.8871999998
2024-02-25 00:00:00+00:00,1225450.1171999997
2024-02-26 00:00:00+00:00,1241705.6726999995
2024-02-27 00:00:00+00:00,1268857.7626999998
2024-02-28 00:00:00+00:00,1312425.4648399998
2024-02-29 00:00:00+00:00,1405866.2743399998
2024-03-01 00:00:00+00:00,1421278.12774
2024-03-02 00:00:00+00:00,1453394.2781399998
2024-03-03 00:00:00+00:00,1450905.3559999997
2024-03-04 00:00:00+00:00,1467645.8567299997
2024-03-05 00:00:00+00:00,1532075.0946499996
2024-03-06 00:00:00+00:00,1463449.5180499998
2024-03-07 00:00:00+00:00,1532758.0089399999
2024-03-08 00:00:00+00:00,1596113.2073799998
2024-03-09 00:00:00+00:00,1610358.0360399997
2024-03-10 00:00:00+00:00,1612378.0036399998
2024-03-11 00:00:00+00:00,1613874.6226299999
2024-03-12 00:00:00+00:00,1673753.34723
2024-03-13 00:00:00+00:00,1667581.6192999997
2024-03-14 00:00:00+00:00,1725336.4998499998
2024-03-15 00:00:00+00:00,1742169.1421899996
2024-03-16 00:00:00+00:00,1731028.3178899998
2024-03-17 00:00:00+00:00,1664615.64697
2024-03-18 00:00:00+00:00,1776336.4680699995
2024-03-19 00:00:00+00:00,1781063.6083499999
2024-03-20 00:00:00+00:00,1668200.0703499997
2024-03-21 00:00:00+00:00,1771505.4157099996
2024-03-22 00:00:00+00:00,1773504.6297499996
2024-03-23 00:00:00+00:00,1784168.3926299994
2024-03-24 00:00:00+00:00,1775617.5744099994
2024-03-25 00:00:00+00:00,1809598.1322299994
2024-03-26 00:00:00+00:00,1826813.9366299994
2024-03-27 00:00:00+00:00,1852017.7958199994
2024-03-28 00:00:00+00:00,1835663.0876399996
2024-03-29 00:00:00+00:00,1855880.6655599994
2024-03-30 00:00:00+00:00,1855849.5769199994
2024-03-31 00:00:00+00:00,1860004.1852799994
2024-04-01 00:00:00+00:00,1897498.4146799995
2024-04-02 00:00:00+00:00,1853857.1888199993
2024-04-03 00:00:00+00:00,1815101.8534899992
2024-04-04 00:00:00+00:00,1876934.0194899994
2024-04-05 00:00:00+00:00,1876934.0194899994
2024-04-06 00:00:00+00:00,1891265.1133299991
2024-04-07 00:00:00+00:00,1899868.1533299992
2024-04-08 00:00:00+00:00,1903583.2733299993
2024-04-09 00:00:00+00:00,1979403.7830299994
2024-04-10 00:00:00+00:00,1927663.1188299991
2024-04-11 00:00:00+00:00,1948289.3642899995
2024-04-12 00:00:00+00:00,1936454.2466899992
